num_procs,num_dofs,h,L2(ui),L2(ue),submesh_min,submesh_max,submesh_avg,assembly_min,assembly_max,assembly_avg,solve_min,solve_max,solve_avg,num_iterations,degree
1,28551,0.1005095750499515,1.918513763571049e-05,2.309451520710509e-05,0.00787508999928832,0.00787508999928832,0.00787508999928832,1.1730688890020247,1.1730688890020247,1.1730688890020247,1.8720288339973195,1.8720288339973195,1.8720288339973195,41,3
1,207822,0.05025478752497571,3.0004588446265245e-06,3.2648154489398633e-06,0.060467463998065796,0.060467463998065796,0.060467463998065796,4.0786686729989015,4.0786686729989015,4.0786686729989015,23.124032954998256,23.124032954998256,23.124032954998256,41,3
1,1580673,0.02512331030157225,6.919499270059705e-07,1.0092566617523948e-06,0.48546475599869154,0.48546475599869154,0.48546475599869154,30.79832814999827,30.79832814999827,30.79832814999827,213.03341735700087,213.03341735700087,213.03341735700087,37,3
1,12318591,0.012561655150786125,2.2900815892603015e-07,3.083080475327512e-07,6.686550140999316,6.686550140999316,6.686550140999316,257.6179210699993,257.6179210699993,257.6179210699993,3753.196551891,3753.196551891,3753.196551891,40,3
2,28551,0.1005095750499515,1.9185368947523205e-05,2.3093804956658126e-05,0.01705841199873248,0.01705855000182055,0.017058481000276515,0.31568346099811606,0.31568589599919505,0.31568467849865556,0.9413908419955987,0.9414348759964923,0.9414128589960455,39,3
2,207822,0.05025478752497571,3.0010446126206945e-06,3.2741253559702897e-06,0.07711995799763827,0.07712852300028317,0.07712424049896072,2.208407227000862,2.2084370250013308,2.2084221260010963,12.318089161999524,12.318156836998241,12.318122999498883,41,3
2,1580673,0.02512331030157225,3.6055369242653973e-07,4.931087719480433e-07,0.4349978569953237,0.435009421002178,0.43500363899875083,16.47677113800455,16.476771736000956,16.476771437002753,130.46385258699593,130.46390590100054,130.46387924399824,40,3
2,12318591,0.012561655150786125,5.216994808934519e-07,7.680909228574941e-07,3.735084204003215,3.735095067000657,3.735089635501936,133.5918146660042,133.5918186859999,133.59181667600205,1625.864056489001,1625.8642120140066,1625.8641342515039,38,3
4,28551,0.1005095750499515,1.918368534308319e-05,2.3094359081275317e-05,0.016860192001331598,0.01689129099395359,0.0168756407492765,0.1823184150052839,0.18232074000115972,0.18231983325131296,0.5739429579989519,0.5739557839988265,0.5739477392489789,41,3
4,207822,0.05025478752497571,3.000818487024559e-06,3.2650714828232796e-06,0.0657214630045928,0.06572396899719024,0.06572260424945853,1.1423585880038445,1.142360240999551,1.1423596749991702,6.863622163997206,6.863735382001323,6.863674382248064,41,3
4,1580673,0.02512331030157225,3.670870558889248e-07,5.149641247328779e-07,0.32471275399439037,0.3247331349994056,0.3247215059982409,8.42058929799532,8.420592716000101,8.42059157949916,66.78562124400196,66.78564161700342,66.78562848750153,40,3
4,12318591,0.012561655150786125,2.9522492889526364e-07,4.1606846502865924e-07,2.252787929995975,2.2528124669988756,2.2527948927490797,69.2195819280023,69.21959222300211,69.21958600475045,745.5757434059997,745.5760202409947,745.5758612759982,40,3
8,28551,0.1005095750499515,1.9184586090673367e-05,2.3089037577419253e-05,0.014783997998165432,0.014822731995081995,0.014792974372539902,0.11412648999976227,0.11413090299902251,0.11412889549956162,0.3856456569992588,0.38565335200109985,0.38564951287480653,41,3
8,207822,0.05025478752497571,3.0065631896096587e-06,3.280819529223194e-06,0.05286606700246921,0.052913248000550084,0.05288813575043605,0.6772639060000074,0.6773056009988068,0.6772892208746271,4.270095749998291,4.270178204998956,4.270140732124673,39,3
8,1580673,0.02512331030157225,4.2509175312319375e-07,5.967277414175462e-07,0.23764356299943756,0.2384555420067045,0.23783789274875744,4.882131555001251,4.882139753004594,4.882135792250665,42.7994669740001,42.799511276003614,42.799490072750814,39,3
8,12318591,0.012561655150786125,3.301636092987125e-07,4.6288418633023826e-07,1.4008177489959053,1.4008553640014725,1.4008298686248963,39.4152175440031,39.41522834900388,39.41522385750159,430.6525841490002,430.65283782900224,430.65270989537385,40,3
16,28551,0.1005095750499515,1.9185464388318395e-05,2.3091983413820988e-05,0.01624188099958701,0.016674341997713782,0.016306603625707794,0.0946618390007643,0.09466729099949589,0.0946643831248366,0.3587368719963706,0.3587648159955279,0.3587520861251505,44,3
16,207822,0.05025478752497571,3.0022519392196148e-06,3.279823075245971e-06,0.05206784299662104,0.05216839900094783,0.05209652081157401,0.47534200600057375,0.47534566999820527,0.47534386287543384,3.873328476998722,3.873424060002435,3.8733725501879235,41,3
16,1580673,0.02512331030157225,3.043413530392595e-07,3.951483871696033e-07,0.19268243199621793,0.19271305300208041,0.19270230643724062,2.991081669999403,2.9911022809974384,2.991088118812513,38.50848727999983,38.50922611999704,38.50914875437502,41,3
16,12318591,0.012561655150786125,2.438447520702169e-07,3.580480095575983e-07,1.073454715005937,1.0740115730004618,1.0735046766890264,23.767930793997948,23.76794045799761,23.7679349633745,333.51341821100505,333.518868111998,333.5180387133755,41,3
1,1447,0.1005095750499515,0.016678217065361035,0.02116709393019852,0.008031729004869703,0.008031729004869703,0.008031729004869703,0.033544299003551714,0.033544299003551714,0.033544299003551714,0.016183043997443747,0.016183043997443747,0.016183043997443747,34,1
1,9228,0.05025478752497571,0.005787148835809517,0.007199497198117519,0.059697984004742466,0.059697984004742466,0.059697984004742466,0.20881260900205234,0.20881260900205234,0.20881260900205234,0.16022628200153122,0.16022628200153122,0.16022628200153122,36,1
